,new_cases
17638,1
65186,0
31224,1
70214,1
59774,1
36661,1
50242,1
3799,1
24348,0
70460,0
71036,0
59210,0
20738,1
58438,0
57507,1
46318,1
57601,0
13179,1
59536,1
37625,1
52498,1
27229,1
7911,0
43591,0
33486,1
67179,0
15276,1
31144,0
59078,1
1815,0
51023,1
36520,1
53558,1
60332,0
15356,0
71148,1
61853,0
64694,1
35307,1
46346,1
3354,1
4251,1
17890,1
24036,1
28372,1
13701,0
10848,1
25959,0
71112,1
57111,1
47021,1
22138,1
62534,1
24035,1
35557,0
50731,1
34556,1
6692,1
53212,1
5488,1
72193,1
69692,1
2762,0
44591,1
28388,1
65767,1
31467,0
42549,1
57302,1
60858,1
44106,1
73418,1
52785,1
68200,1
59230,1
76488,1
71055,0
71240,1
74354,1
34914,1
17360,1
2310,1
29776,1
61168,1
70019,1
31340,1
49928,1
43922,1
34279,1
10674,1
63618,1
18620,1
70044,1
33023,1
30574,1
33068,0
56084,1
28935,1
26191,0
24779,1
32520,0
43080,1
6225,1
75613,1
28110,0
43628,0
68583,0
73505,1
11401,0
47154,1
38986,1
61481,1
3804,1
32273,0
59604,1
19253,1
24147,0
66919,1
23469,1
64013,0
71451,1
22891,1
25310,1
57214,1
72486,1
20248,1
68302,0
29507,1
61223,0
34627,1
18817,1
13126,1
66840,1
6569,1
72988,1
17860,1
54536,1
6877,1
38571,1
53422,1
26980,1
5928,1
13641,0
7246,1
76009,1
68702,0
9738,0
28446,1
56283,1
50024,1
62203,1
20275,1
72402,1
23394,1
42764,1
36562,1
47049,1
28622,1
25581,1
19501,1
50347,1
32233,1
56466,1
68453,0
57313,1
40559,1
16812,0
75338,1
29933,1
27123,1
48446,1
57189,1
14355,1
46896,1
75159,1
60863,0
2742,0
26262,1
27261,0
65142,1
35612,1
73797,0
55339,1
75254,1
701,1
34238,1
22472,1
31466,0
15424,1
58173,1
47194,1
21011,1
76496,1
68709,0
18545,1
13511,1
6894,1
30176,1
41828,1
25341,1
29937,1
36278,1
68802,1
40104,1
69758,1
66916,1
38271,1
32218,1
63931,1
51019,1
23870,1
44229,0
25798,1
57598,0
38512,1
26894,1
29088,0
31659,1
4657,1
74240,0
59661,1
31319,1
72212,0
66415,1
39572,0
9008,1
67060,1
60919,0
40208,0
72479,1
